class,filename,path,url,data_origin,retrieved_date_of_issuance,issuing_authority,retrieved_topic,PDF_or_text
Circulers,TRI_Advisory_Ciculars_LU_01.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_Advisory_Ciculars_LU_01.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_Advisory_Ciculars_LU_01.pdf,scraped,October 2002,TRI Circulers,Guidelines on Land Suitability Classification for Tea,PDF
Circulers,TRI_Advisory_Ciculars_LU_02.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_Advisory_Ciculars_LU_02.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_Advisory_Ciculars_LU_02.pdf,scraped,September 2003,TRI Circulers,Field Categorization in Tea Lands,PDF
Circulers,TRI_Advisory_Ciculars_PN_01.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_Advisory_Ciculars_PN_01.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_Advisory_Ciculars_PN_01.pdf,scraped,December 2002,TRI Circulers,The Suitability of Tea Clones for the Different Regions,PDF
Circulers,TRI_Advisory_Ciculars_PN_02.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_Advisory_Ciculars_PN_02.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_Advisory_Ciculars_PN_02.pdf,scraped,November 2009,TRI Circulers,Tea Nursery Management,PDF
Circulers,TRI_SP01e.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_SP01e.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_SP01e.pdf,scraped,July 2000,TRI Circulers,Fertilizer  Recommendations for Nursery Tea,PDF
Circulers,TRI_SP02e.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_SP02e.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_SP02e.pdf,scraped,July 2000,TRI Circulers,Fertilizer  Recommendations for Immature Tea,PDF
Circulers,TRI_SP03e.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_SP03e.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_SP03e.pdf,scraped,July 2000,TRI Circulers,Fertilizer  Recommendations for Mature Tea,PDF
Circulers,TRI_SP04e.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_SP04e.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_SP04e.pdf,scraped,July 2000,TRI Circulers,Fertilizer  Recommendations for Clonal Mother Bushes,PDF
Circulers,TRI_SP05e.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_SP05e.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_SP05e.pdf,scraped,July 2000,TRI Circulers,Fertilizer  Recommendations for Tea Seed Bearers,PDF
Circulers,TRI_SP06e.pdf,\data\task1_raw_input\data_source_tri\v0_0\files\Circulers\TRI_SP06e.pdf,https://www.tri.lk/wp-content/uploads/2020/02/TRI_SP06e.pdf,scraped,July 2000,TRI Circulers,Fertilizer Recommendations for Rehabilitation Grasses (Mana & Guatemala),PDF
